read_name	read_length	subtel_start	subtel_end	max_tel_dropoff	max_tel_dropoff_position	max_rev_dropoff	max_rev_dropoff_position	difference
be5bed8b-ae8b-4347-8a28-82596a3b5194	12245	11680	11794	1.0	11785	0.35	3092	9
45a5e0bb-8ae0-4275-afe4-9370dc72065b	13124	550	441	0.35	2727	1.0	240	201
65c76a0e-e635-4f33-a1ad-68cb63cbe176	23332	303	172	0.35	2442	0.85	170	2
600c0379-71ab-4a08-82c6-f7f1818af06e	14928	14694	14796	1.0	14795	0.35	3079	1
962ed878-93bb-4aed-bba3-acf9aa4b76ae	15367	392	295	0.35	2555	0.9	304	9
036403fd-30fe-4f0b-980f-24252864b012	17084	232	115	0.35	2413	0.85	128	13
88cbd3f1-38b8-4b48-bb79-ac8775faf26b	14464	13963	14028	1.0	14320	0.35	2325	292
a9b21e09-933f-4449-8841-aad44cd0fb3c	27581	502	389	0.55	10778	1.0	383	6
28016ec5-4ac8-4a79-89f9-4183af060575	12607	1675	250	0.35	654	1.0	253	3
658e5feb-36d3-41e9-96e4-4fa218ca9e36	14727	14452	14564	1.0	14555	0.35	2717	9
60c3f138-3a6a-4a73-9c62-15cfc6472025	7045	6695	6812	1.0	6806	0.35	1316	6
07355f59-b5db-43c1-a57a-df6d88b677f9	12265	11956	12055	1.0	12054	0.35	181	1
6c54c561-0880-4ae9-b7ed-6299a03b7c54	42855	42469	42575	1.0	42565	0.4	28966	10
927a5cb2-65ee-4e80-9166-2d8bab228b70	4320	3960	4054	0.85	4034	0.35	1741	20
2fb5a73a-902a-4672-91f7-9a92609d9689	12410	507	380	0.35	2690	0.8	394	14
5e52c1af-e4c5-4975-a49a-8284a7cd1a9c	41505	440	371	0.55	32949	0.65	201	170
