chromosome	coordinate	RE_density	HFC
DcoA	16150000	0.03248	non-HFC
DcoA	16250000	0.0258	non-HFC
DcoA	16350000	0.03281	non-HFC
DcoA	16450000	0.0338	non-HFC
DcoA	16550000	0.03383	non-HFC
DcoA	16650000	0.03548	non-HFC
DcoA	16750000	0.03616	non-HFC
DcoA	16850000	0.03225	non-HFC
DcoA	16950000	0.03388	non-HFC
DcoA	17050000	0.03339	non-HFC
DcoA	17150000	0.03449	non-HFC
DcoA	17250000	0.03261	non-HFC
DcoA	17350000	0.03246	non-HFC
DcoA	17450000	0.03466	non-HFC
DcoA	17550000	0.03181	non-HFC
DcoA	17650000	0.0328	non-HFC
DcoA	17750000	0.03258	non-HFC
DcoA	17850000	0.03038076152304609	non-HFC
DcoA	17950000	0.03186	non-HFC
DcoA	18050000	0.03563	non-HFC
DcoA	18150000	0.03682	non-HFC
DcoA	18250000	0.03344	non-HFC
DcoA	18350000	0.03154	non-HFC
DcoA	18450000	0.03137	non-HFC
DcoA	18550000	0.03227	non-HFC
DcoA	18650000	0.03383	non-HFC
DcoA	18750000	0.03666	non-HFC
DcoA	18850000	0.03271	non-HFC
DcoA	18950000	0.0345	non-HFC
DcoA	19050000	0.03418	non-HFC
DcoA	19150000	0.03479	non-HFC
DcoA	19250000	0.029639278557114228	non-HFC
DcoA	19350000	0.03178	non-HFC
DcoA	19450000	0.03179	non-HFC
DcoA	19550000	0.03189	non-HFC
DcoA	19650000	0.03442	non-HFC
DcoA	19750000	0.03272	non-HFC
DcoA	19850000	0.03594	non-HFC
DcoA	19950000	0.0341	non-HFC
DcoA	20050000	0.03076	non-HFC
DcoA	20150000	0.03172	non-HFC
DcoA	20250000	0.03276	non-HFC
DcoA	20350000	0.03236	non-HFC
DcoA	20450000	0.03514	non-HFC
DcoA	20550000	0.03358	non-HFC
DcoA	20650000	0.03466	non-HFC
DcoA	20750000	0.03278	non-HFC
DcoA	20850000	0.03304	non-HFC
DcoA	20950000	0.03472	non-HFC
DcoA	21050000	0.03247	non-HFC
DcoA	21150000	0.03315	non-HFC
DcoA	21250000	0.03232	non-HFC
DcoA	21350000	0.03459	non-HFC
DcoA	21450000	0.03214	non-HFC
DcoA	21550000	0.03303	non-HFC
DcoA	21650000	0.03278	non-HFC
DcoA	21750000	0.03228	non-HFC
DcoA	21850000	0.03011	non-HFC
DcoA	21950000	0.03304	non-HFC
DcoA	22050000	0.03362	non-HFC
DcoA	22150000	0.03006	non-HFC
DcoA	22250000	0.02977	non-HFC
DcoA	22350000	0.03165	non-HFC
DcoA	22450000	0.02971	non-HFC
DcoA	22550000	0.03048	non-HFC
DcoA	22650000	0.0347	non-HFC
DcoA	22750000	0.03188	non-HFC
DcoA	22850000	0.03217	non-HFC
DcoA	22950000	0.03413	non-HFC
DcoA	23050000	0.0296	non-HFC
DcoA	23150000	0.03552	non-HFC
DcoA	23250000	0.03246	non-HFC
DcoA	23350000	0.03018	non-HFC
DcoA	23450000	0.0319	non-HFC
DcoA	23550000	0.03346	non-HFC
DcoA	23650000	0.03093	non-HFC
DcoA	23750000	0.03042	non-HFC
DcoA	23850000	0.03174	non-HFC
DcoA	23950000	0.03153	non-HFC
DcoA	24050000	0.03294	non-HFC
DcoA	24150000	0.03061	non-HFC
DcoA	24250000	0.03232	non-HFC
DcoA	24350000	0.02961	non-HFC
DcoA	24450000	0.02968	non-HFC
DcoA	24550000	0.03081	HFC
DcoA	24650000	0.02778	HFC
DcoA	24750000	0.03134	HFC
DcoA	24850000	0.02951	HFC
DcoA	24950000	0.02915	HFC
DcoA	25050000	0.03219438877755511	HFC
DcoA	25150000	0.02989	HFC
DcoA	25250000	0.03387	HFC
DcoA	25350000	0.03554	HFC
DcoA	25450000	0.03278	HFC
DcoA	25550000	0.03536	HFC
DcoA	25650000	0.03628	HFC
DcoA	25750000	0.03285	HFC
DcoA	25850000	0.02876	HFC
DcoA	25950000	0.03019	HFC
DcoA	26050000	0.03067	HFC
DcoA	26150000	0.02817	HFC
DcoA	26250000	0.03449	HFC
DcoA	26350000	0.02806	HFC
DcoA	26450000	0.03558	HFC
DcoA	26550000	0.03068	HFC
DcoA	26650000	0.03481	HFC
DcoA	26750000	0.03248	HFC
DcoA	26850000	0.03135	HFC
DcoA	26950000	0.03441	HFC
DcoA	27050000	0.03219	HFC
DcoA	27150000	0.02835	HFC
DcoA	27250000	0.03054	HFC
DcoA	27350000	0.031162324649298596	HFC
DcoA	27450000	0.02858	HFC
DcoA	27550000	0.03225	non-HFC
DcoA	27650000	0.02646	non-HFC
DcoA	27750000	0.03031	non-HFC
DcoA	27850000	0.03061	non-HFC
DcoA	27950000	0.03123	non-HFC
DcoA	28050000	0.03333	non-HFC
DcoA	28150000	0.02904	non-HFC
DcoA	28250000	0.03379	non-HFC
DcoA	28350000	0.03006	non-HFC
DcoA	28450000	0.02936	non-HFC
DcoA	28550000	0.03283	non-HFC
DcoA	28650000	0.03171	non-HFC
DcoA	28750000	0.03520040080160321	non-HFC
DcoA	28850000	0.03198	non-HFC
DcoA	28950000	0.03166	non-HFC
DcoA	29050000	0.03536	non-HFC
DcoA	29150000	0.03391	non-HFC
DcoA	29250000	0.03205	non-HFC
DcoA	29350000	0.03568	non-HFC
DcoA	29450000	0.03421	non-HFC
DcoA	29550000	0.03332	non-HFC
DcoA	29650000	0.03341	non-HFC
DcoA	29750000	0.03062	non-HFC
DcoA	29850000	0.03212	non-HFC
DcoA	29950000	0.03214	non-HFC
DcoA	30050000	0.03159	non-HFC
DcoA	30150000	0.03466	non-HFC
DcoA	30250000	0.03563	non-HFC
DcoA	30350000	0.03149	non-HFC
DcoA	30450000	0.02466	non-HFC
DcoA	30550000	0.03021	non-HFC
DcoA	30650000	0.03293	non-HFC
DcoA	30750000	0.03123	non-HFC
DcoA	30850000	0.02578	non-HFC
DcoA	30950000	0.0291	non-HFC
DcoA	31050000	0.0301	non-HFC
DcoA	31150000	0.0361	non-HFC
DcoA	31250000	0.03209	non-HFC
DcoA	31350000	0.03217	non-HFC
DcoA	31450000	0.03109	non-HFC
DcoA	31550000	0.03	non-HFC
DcoA	31650000	0.03129	non-HFC
DcoA	31750000	0.02609	non-HFC
DcoA	31850000	0.02898	non-HFC
DcoA	31950000	0.03153	non-HFC
DcoA	32050000	0.03353	non-HFC
DcoA	32150000	0.03125	non-HFC
DcoA	32250000	0.03295	non-HFC
DcoA	32350000	0.03464	non-HFC
DcoA	32450000	0.03252	non-HFC
DcoA	32550000	0.03258	non-HFC
DcoA	32650000	0.03125	non-HFC
DcoA	32750000	0.03404	non-HFC
DcoA	32850000	0.02779	non-HFC
DcoA	32950000	0.02845	non-HFC
DcoA	33050000	0.03167	non-HFC
DcoA	33150000	0.02941	non-HFC
DcoA	33250000	0.03248	non-HFC
DcoA	33350000	0.03333	non-HFC
DcoA	33450000	0.03311	non-HFC
DcoA	33550000	0.02979	non-HFC
DcoA	33650000	0.03074	non-HFC
DcoA	33750000	0.03136	non-HFC
DcoA	33850000	0.03126	non-HFC
DcoA	33950000	0.03435	non-HFC
DcoA	34050000	0.03397	non-HFC
DcoA	34150000	0.03338	non-HFC
DcoA	34250000	0.03376	non-HFC
DcoA	34350000	0.03363	non-HFC
DcoA	34450000	0.03545	non-HFC
DcoA	34550000	0.03249	non-HFC
DcoA	34650000	0.03422	non-HFC
DcoA	34750000	0.03564	non-HFC
DcoA	34850000	0.03418	non-HFC
DcoA	34950000	0.03544	non-HFC
DcoA	35050000	0.03508	non-HFC
DcoA	35150000	0.03189	non-HFC
DcoA	35250000	0.03553	non-HFC
DcoA	35350000	0.030701402805611223	non-HFC
DcoA	35450000	0.03394	non-HFC
DcoA	35550000	0.03164	non-HFC
DcoA	35650000	0.03244	non-HFC
DcoA	35750000	0.03007	non-HFC
DcoA	35850000	0.02639	non-HFC
DcoA	35950000	0.02918	non-HFC
DcoA	36050000	0.03072	non-HFC
DcoA	36150000	0.03179	non-HFC
DcoA	36250000	0.03195	non-HFC
DcoA	36350000	0.03514	non-HFC
DcoA	36450000	0.03454	non-HFC
DcoA	36550000	0.03487	HFC
DcoA	36650000	0.03162	HFC
DcoA	36750000	0.03465	HFC
DcoA	36850000	0.0306	HFC
DcoA	36950000	0.0365	HFC
DcoA	37050000	0.0377	HFC
DcoA	37150000	0.03361	HFC
DcoA	37250000	0.03412	HFC
DcoA	37350000	0.03168	HFC
DcoA	37450000	0.03192	HFC
DcoA	37550000	0.04043	HFC
DcoA	37650000	0.03251	HFC
DcoA	37750000	0.03217	HFC
DcoA	37850000	0.03092	HFC
